Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;BOL 2023;31/10/2023;1;;;R$ 350,00;R$ 0,00;R$ 0,00;R$ 350,00
INTER CERTIFICADORA DIGITAL LTDA;BOL THEOROS;01/11/2023;1;;;R$ 232,00;R$ 0,00;R$ 0,00;R$ 232,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA 2024;01/12/2023;13;;;R$ 4.550,00;R$ 0,00;R$ 0,00;R$ 4.550,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA 2025;01/01/2025;12;;;R$ 4.488,75;R$ 0,00;R$ 0,00;R$ 4.488,75
INTER CERTIFICADORA DIGITAL LTDA;REC 1;02/01/2025;1;;;R$ 232,00;R$ 0,00;R$ 0,00;R$ 232,00
PODIUM CERTIFICACAO E SERVICOS LTDA;BOL 122025;15/12/2025;1;;;R$ 199,00;R$ 0,00;R$ 0,00;R$ 199,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA CONTABILIDADE THEORO;01/01/2026;12;;;R$ 4.796,50;R$ 0,00;R$ 0,00;R$ 4.796,50
TOTAL;;;;;;R$ 14.848,25;R$ 0,00;R$ 0,00;R$ 14.848,25
