Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
1195;6;AGORA NEGOCIOS IMOBILIARIOS E PARTICIPACOES LTDA;REC;1;05/11/2024;69;AJUSTE DE CAIXA;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.158,03;R$ 1.158,03;R$ 1.158,03;REEMBOLSO REFERENTE A COMPRA DE BEBIDAS CASA COR
TOTAL;6;AGORA NEGOCIOS IMOBILIARIOS E PARTICIPACOES LTDA;;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.158,03;R$ 1.158,03;R$ 1.158,03;
