Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
798;3;METALÚRGICA POLY STEEL;NFSE;852;25/01/2023;81;MUNICIPIO DE SENADOR POMPEU - SECRETARIA DE EDUCAÇÃO, CULTURA E DESPORTO;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 62.000,00;R$ 62.000,00;R$ 62.000,00;REPASSE - MADALENA
819;3;METALÚRGICA POLY STEEL;NFSE;884;28/03/2023;79;CAIXA ECONOMICA FEDERAL;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 47.000,00;R$ 47.000,00;R$ 47.000,00;2ª MEDIÇÃO DE MADALENA
820;3;METALÚRGICA POLY STEEL;NFSE;884;28/03/2023;79;CAIXA ECONOMICA FEDERAL;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 20.000,00;R$ 20.000,00;R$ 20.000,00;1ª MEDIÇÃO DE UMIRIM
821;3;METALÚRGICA POLY STEEL;NFSE;884;28/03/2023;79;CAIXA ECONOMICA FEDERAL;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60.000,00;R$ 60.000,00;R$ 60.000,00;1ª MEDIÇÃO DE SOLONOPOLES
TOTAL;3;METALÚRGICA POLY STEEL;;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 189.000,00;R$ 189.000,00;R$ 189.000,00;
