Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
442;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;232;28/07/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 27.553,01;R$ 27.553,01;R$ 27.553,01;ESCOLA LONE BRAGA
443;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;235;28/07/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 16.534,58;R$ 16.534,58;R$ 16.534,58;ESCOLA VICENTE JUCIER
441;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;237;30/07/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 110.555,32;R$ 110.555,32;R$ 110.555,32;ASFALTO
451;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;238;30/07/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 153.939,88;R$ 153.939,88;R$ 153.939,88;GABINETE
405;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;573;02/08/2021;73;MUNICÍPIO DE GRANJEIRO;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.631,35;R$ 80.631,35;R$ 80.631,35;4ª MEDIÇÃO - OBJETO: CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DAS OBRAS DE REFORMA DA PRAÇA DA MATRIZ DE GRANJEIRO, CONFORME CONVENIO Nº 050/CIDADES/2019 FIRMADO COM O GOVERNO DO ESTADO DO CEARÁ E O MUNICÍPIO DE GRANJEIRO/CE. CONTRATO N° 2021.04.30.1
420;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;244;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 23.445,12;R$ 23.445,12;R$ 23.445,12;ESCOLA JOÃO LINO
422;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;241;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 70.803,76;R$ 70.803,76;R$ 70.803,76;ESCOLA DOMINGOS SAVIO
423;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;240;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 21.179,43;R$ 21.179,43;R$ 21.179,43;ESCOLA MARIA DE LOURDES
424;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;252;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 67.332,26;R$ 67.332,26;R$ 67.332,26;ESCOLA CAPITÃO PORFIRIO
425;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;247;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 32.300,00;R$ 32.300,00;R$ 32.300,00;ESCOLA ROCILDA ARRUDA
