Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
MUNICIPIO DE SENADOR POMPEU - SECRETARIA DE EDUCAÇÃO, CULTURA E DESPORTO;NFSE 852;25/01/2023;1;;;R$ 62.000,00;R$ 0,00;R$ 0,00;R$ 62.000,00
CAIXA ECONOMICA FEDERAL;NFSE 884;28/03/2023;1;;;R$ 60.000,00;R$ 0,00;R$ 0,00;R$ 60.000,00
CAIXA ECONOMICA FEDERAL;NFSE 884;28/03/2023;1;;;R$ 47.000,00;R$ 0,00;R$ 0,00;R$ 47.000,00
CAIXA ECONOMICA FEDERAL;NFSE 884;28/03/2023;1;;;R$ 20.000,00;R$ 0,00;R$ 0,00;R$ 20.000,00
TOTAL;;;;;;R$ 189.000,00;R$ 0,00;R$ 0,00;R$ 189.000,00
