EMPRESA: DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA
ID_EMPRESA: 1
PERIODO: 2019-08-13 ate 2026-05-30
Fonte: Sienge API REST ao vivo (/accounts-receivable/receivable-bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; titles=1488.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
177;CONSTRUÇÃO DE ESPAÇO EDUCATIVO RURAL COM 06 SALAS DE AULA - SENADOR POMPEU
198;CONSTRUÇÃO DE GALPÃO INDUSTRIAL - SENADOR POMPEU
245;CONSTRUÇÃO DE MURO DE CONTENÇÃO NA LATERAL ESQUERDA DO CAMPO 03 - ACOPIARA
193;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (AÇUDE DE WALTIM) - ASSARE
174;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (RIACHO DO DIOGO) - ASSARE
173;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 01 - ASSARÉ
176;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 02- ASSARE
172;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MARTINS - ASSARÉ
175;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO PEDRA PETRA- ASSARE
171;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO SÃO LORENZO - ASSARE
122;CONSTRUÇÃO DE QUADRAS - TABULEIRO DO NORTE
170;CONSTRUÇÃO DE UM ESPAÇO EDUCATIVO 12 SALAS DE AULA - JUCAS
274;CONSTRUÇÃO DE UMA ESCOLA - 12 SALAS - VARZEA ALEGRE
166;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE - UBS INDIGENA - CRATEUS
208;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE INDIGENA TIPO III NA ALDEIA VILA VITORIA
109;CONSTRUÇÃO DO MERCADO PÚBLICO - VÁRZEA ALEGRE
120;CONSTRUÇÃO ESTÁDIO MUNICIPAL - PREFEITURA DE MORRINHOS
192;CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB - FINALIZADA
119;CONTRUÇÃO DE 04 PRAÇAS - MORRINHOS
